word,part_of_speech,meaning,example
ách tắc,danh từ,"sự tắc nghẽn, sự khó khăn trở ngại: công việc đang gặp ách tắc * ách tắc luôn xảy ra trong giờ cao điểm",công việc đang gặp ách tắc * ách tắc luôn xảy ra trong giờ cao điểm
anh chị,danh từ,(khẩu ngữ) đàn anh sừng sỏ trong bọn lưu manh: dân anh chị * một tay anh chị,dân anh chị * một tay anh chị
anh chàng,danh từ,(khẩu ngữ) người trai trẻ (hàm ý coi thường hoặc bông đùa): một anh chàng vui tính,một anh chàng vui tính
anh hào,danh từ,"(cũ, văn chương) anh hùng, hào kiệt (nói chung): ""Đường đường một đấng anh hào, Côn quyền hơn sức, lược thao gồm tài."" (TKiều)","""Đường đường một đấng anh hào, Côn quyền hơn sức, lược thao gồm tài."" (TKiều)"
anh hoa,danh từ,"(cũ, văn chương) cái đẹp đẽ, tốt đẹp; cái tinh hoa (của một con người): ""Anh hoa phát tiết ra ngoài, Nghìn thu bạc mệnh một đời tài hoa."" (TKiều)","""Anh hoa phát tiết ra ngoài, Nghìn thu bạc mệnh một đời tài hoa."" (TKiều)"
anh hùng,danh từ,"nhân vật thần thoại có sức mạnh và dũng khí phi thường, lập nên những kì tích đặc biệt (thường có trong truyện thần thoại Hi Lạp).",vị anh hùng dân tộc
anh hùng,danh từ,"người có tài năng và dũng khí hơn hẳn người thường, làm nên những việc được người đời ca tụng: vị anh hùng dân tộc",anh hùng lực lượng vũ trang nhân dân * anh hùng lao động
anh kiệt,danh từ,"(cũ, văn chương) như anh hào: bậc anh kiệt",bậc anh kiệt
anh linh,danh từ,linh hồn của người được tôn vinh: nghiêng mình trước anh linh các liệt sĩ,nghiêng mình trước anh linh các liệt sĩ
ảnh hưởng,danh từ,"tác động (từ người, sự việc hoặc hiện tượng) có thể làm dần dần có những biến đổi nhất định trong tư tưởng, hành vi, hoặc trong quá trình phát triển ở sự vật hoặc người nào đó: ảnh hưởng của phim ảnh đối với trẻ em * gây ảnh hưởng xấu",ảnh hưởng của phim ảnh đối với trẻ em * gây ảnh hưởng xấu
anh trai,danh từ,"anh ruột, phân biệt với anh họ, anh rể: nhà có hai anh trai",nhà có hai anh trai
anh tài,danh từ,"(cũ) người có tài năng và trí tuệ xuất chúng: ""Thề không dung kẻ quyền gian, Vì dân trừ hại mới nên anh tài."" (NĐM)","""Thề không dung kẻ quyền gian, Vì dân trừ hại mới nên anh tài."" (NĐM)"
anh yến,danh từ,"(cũ, văn chương) như yến anh: ""Muôn nghìn người thấy cũng yêu, Xôn xao anh yến, dập dìu trúc mai."" (TKiều)","""Muôn nghìn người thấy cũng yêu, Xôn xao anh yến, dập dìu trúc mai."" (TKiều)"
anh thư,danh từ,"(cũ, văn chương) người phụ nữ anh hùng: tỏ mặt anh thư",tỏ mặt anh thư
anh túc,danh từ,cây thuốc phiện: hoa anh túc,hoa anh túc
ánh sáng,danh từ,"dạng vật chất do vật phát ra hoặc phản chiếu trên vật, nhờ nó mắt có thể cảm thụ mà nhìn thấy vật ấy: ánh sáng mặt trời * ngôi nhà ẩm thấp, thiếu ánh sáng","ánh sáng mặt trời * ngôi nhà ẩm thấp, thiếu ánh sáng"
ánh sáng,danh từ,"sự soi sáng, sự hướng dẫn: ánh sáng của khoa học * vụ việc đã được đưa ra ánh sáng (nêu ra công khai)",ánh sáng của khoa học * vụ việc đã được đưa ra ánh sáng (nêu ra công khai)
bích báo,danh từ,(cũ) báo tường: viết bích báo,viết bích báo
bia miệng,danh từ,"tiếng xấu để lại, lưu truyền từ đời này sang đời khác: ""Trăm năm bia đá cũng mòn, Nghìn năm bia miệng hãy còn trơ trơ."" (ca dao)","""Trăm năm bia đá cũng mòn, Nghìn năm bia miệng hãy còn trơ trơ."" (ca dao)"
biếm hoạ,danh từ,tranh châm biếm có tính chất gây cười: tranh biếm hoạ,tranh biếm hoạ
biên bản,danh từ,"bản ghi lại những gì thực tế đã xảy ra (về một sự việc cần ghi nhớ hoặc cần xử lí) để làm chứng cớ, làm căn cứ: biên bản hỏi cung * biên bản bàn giao * lập biên bản",biên bản hỏi cung * biên bản bàn giao * lập biên bản
biên bản,danh từ,"bản ghi lại tiến trình, đặc biệt là nội dung, kết quả thảo luận (của một cuộc họp, hội nghị): thư kí ghi biên bản cuộc họp",thư kí ghi biên bản cuộc họp
biển báo,danh từ,biển đặt trên đường và nơi công cộng để thông báo về các hạn chế hoặc đặc điểm của điều kiện giao thông hoặc trật tự công cộng: biển báo đường một chiều * biển báo cấm hút thuốc,biển báo đường một chiều * biển báo cấm hút thuốc
biên chế,danh từ,"cơ cấu của một tổ chức (của cơ quan nhà nước, hoặc đơn vị xí nghiệp, sự nghiệp), số lượng nhân viên, các chức danh, các mức lương, v.v. (nói tổng hợp): biên chế cồng kềnh * tinh giản biên chế",biên chế cồng kềnh * tinh giản biên chế
biên chế,danh từ,số người trong biên chế: đưa vào biên chế * giảm biên chế,đưa vào biên chế * giảm biên chế
biến dạng,danh từ,dạng đã biến đổi ít nhiều so với dạng gốc: hát phường vải là một biến dạng của hát nói,hát phường vải là một biến dạng của hát nói
biên đình,danh từ,"(cũ) vùng biên giới hoặc sát biên giới: ""Lần thâu gió mát, trăng thanh, Bỗng đâu có khách biên đình sang chơi."" (TKiều)","""Lần thâu gió mát, trăng thanh, Bỗng đâu có khách biên đình sang chơi."" (TKiều)"
biến đổi,danh từ,"sự thay đổi, điều thay đổi khác với trước: xã hội có nhiều biến đổi lớn",xã hội có nhiều biến đổi lớn
biến động,danh từ,"sự thay đổi, sự không ổn định: những biến động của thời tiết * xã hội có nhiều biến động",những biến động của thời tiết * xã hội có nhiều biến động
biên giới,danh từ,nơi hết phần đất của một nước và giáp với nước khác: biên giới Việt - Trung * đường biên giới,biên giới Việt - Trung * đường biên giới
biển hiệu,danh từ,"biển đề tên cửa hàng hoặc cơ sở kinh doanh và một số thông tin riêng khác (như địa chỉ, số điện thoại) để tiện cho việc giao dịch, kinh doanh, quảng cáo nói chung: treo biển hiệu",treo biển hiệu
biên lai,danh từ,"giấy theo mẫu in sẵn, ghi đã nhận tiền hoặc vật gì, trao lại làm bằng cho người nộp hoặc gửi: biên lai thu tiền điện * nộp tiền có nhận biên lai",biên lai thu tiền điện * nộp tiền có nhận biên lai
biến loạn,danh từ,"tình trạng trật tự xã hội rối loạn, do chiến tranh hoặc giặc giã: đất nước xảy ra biến loạn",đất nước xảy ra biến loạn
biện pháp,danh từ,cách thức xử lí công việc hoặc giải quyết vấn đề: áp dụng biện pháp kỉ luật * tìm biện pháp giải quyết,áp dụng biện pháp kỉ luật * tìm biện pháp giải quyết
biến thế,danh từ,khí cụ đổi một dòng điện xoay chiều thành một dòng điện xoay chiều cùng tần số nhưng khác hiệu thế: mua thêm biến thế * sản xuất biến thế điện,mua thêm biến thế * sản xuất biến thế điện
biến thái,danh từ,"sự biến đổi rõ rệt về hình dạng và cấu tạo của một số động vật qua từng giai đoạn, từ ấu trùng tới lúc trưởng thành: biến thái của sâu bọ",biến thái của sâu bọ
biến thể,danh từ,thể có khác ít nhiều so với thể gốc: câu thơ lục bát biến thể (câu trên 6 chữ; câu dưới nhiều hơn 8 chữ) *  là biến thể ngữ âm của,câu thơ lục bát biến thể (câu trên 6 chữ; câu dưới nhiều hơn 8 chữ) *  là biến thể ngữ âm của
biên thuỳ,danh từ,"(Từ cũ, Văn chương) biên giới: ""Nghênh ngang một cõi biên thuỳ, Thiếu gì cô quả, thiếu gì bá vương!"" (TKiều)","""Nghênh ngang một cõi biên thuỳ, Thiếu gì cô quả, thiếu gì bá vương!"" (TKiều)"
biệt hiệu,danh từ,"như tên hiệu: Lê Hữu Trác, biệt hiệu là Hải Thượng Lãn Ông","Lê Hữu Trác, biệt hiệu là Hải Thượng Lãn Ông"
biệt hiệu,danh từ,"(khẩu ngữ) tên gọi có tính chất vui đùa, được đặt thêm cho một người nào đó (thường là một từ ngữ nôm na, nêu một đặc điểm đáng chú ý): ""Bà tôi đã đặt cho dượng tôi cái biệt hiệu  *  nghĩa là chỉ ton hót giỏi (...)"" (MPTư; 1)","""Bà tôi đã đặt cho dượng tôi cái biệt hiệu  *  nghĩa là chỉ ton hót giỏi (...)"" (MPTư; 1)"
miền xuôi,danh từ,"vùng ở đồng bằng, ven biển, phía phải đi cùng chiều với dòng chảy tự nhiên của sông mới đến; phân biệt với miền ngược: miền núi tiến kịp miền xuôi",miền núi tiến kịp miền xuôi
miệng thế,danh từ,"(hiếm) lời nhận xét, bàn tán, chê bai của người đời (nói khái quát): miệng thế cười chê",miệng thế cười chê
miệt vườn,danh từ,"vùng đất phù sa rộng lớn, có những vườn cây ăn quả đủ loại, dân cư đông đúc; thường chỉ vùng đồng bằng sông Cửu Long: du lịch miệt vườn",du lịch miệt vườn
miếu mạo,danh từ,"miếu (nói khái quát): tu sửa lại đình chùa, miếu mạo","tu sửa lại đình chùa, miếu mạo"
minh chủ,danh từ,"(cũ) bậc vua chúa có tài đức và sáng suốt, trong quan hệ với người bề tôi: Nguyễn Trãi coi Lê Lợi là bậc minh chủ và hết lòng phò tá",Nguyễn Trãi coi Lê Lợi là bậc minh chủ và hết lòng phò tá
