word,part_of_speech,meaning,example
chân giò,danh từ,chân lợn đã làm thịt: chân giò hầm,chân giò hầm
chân kính,danh từ,"bộ phận bằng hạt quặng rất cứng, dùng để đỡ trục bánh xe đồng hồ: đồng hồ mười bảy chân kính",đồng hồ mười bảy chân kính
chân hàng,danh từ,nơi tập trung các đầu mối thu gom hàng hoá để phân phối đi các nơi: đại lí có chân hàng ổn định * tổ chức chân hàng ở các địa phương,đại lí có chân hàng ổn định * tổ chức chân hàng ở các địa phương
chân mây,danh từ,"(văn chương, hiếm) như chân trời: ""Buồn trông nội cỏ dầu dầu, Chân mây mặt đất một màu xanh xanh."" (TKiều)","""Buồn trông nội cỏ dầu dầu, Chân mây mặt đất một màu xanh xanh."" (TKiều)"
chân nâng,danh từ,bàn đạp mắc hai bên yên ngựa: bộ chân nâng ở yên ngựa,bộ chân nâng ở yên ngựa
chân mày,danh từ,(phương ngữ) lông mày: cặp chân mày rậm,cặp chân mày rậm
chân như,danh từ,"nguyên lí tuyệt đối, vĩnh cửu, không thay đổi, không sinh không diệt, theo quan niệm của đạo Phật: ""Nhạn rằng: Sư phụ xuất gia, Chân như để dạ phồn hoa gác ngoài."" (SKTT)","""Nhạn rằng: Sư phụ xuất gia, Chân như để dạ phồn hoa gác ngoài."" (SKTT)"
chân quì,danh từ,"chân thấp, dáng cong ở một số đồ gỗ, đồ đồng (trông giống dáng chân đang quỳ): sập chân quỳ * lư hương chân quỳ",sập chân quỳ * lư hương chân quỳ
chân quỳ,danh từ,"chân thấp, dáng cong ở một số đồ gỗ, đồ đồng (trông giống dáng chân đang quỳ): sập chân quỳ * lư hương chân quỳ",sập chân quỳ * lư hương chân quỳ
chân rết,danh từ,"đường đan, thêu, v.v. thành hình nhiều nhánh nhỏ toả ra hai bên một đường chính như hình chân con rết: mạng chân rết",mạng chân rết
chân rết,danh từ,chỉ những con đường hoặc tổ chức chi nhánh toả ra từ một con đường hoặc tổ chức chính: hệ thống mương máng chân rết * các chân rết của tổng công ti,hệ thống mương máng chân rết * các chân rết của tổng công ti
chân tay,danh từ,(hiếm) như tay chân: sai chân tay đi đòi nợ,sai chân tay đi đòi nợ
chân tài,danh từ,tài năng thật sự: một chân tài về âm nhạc,một chân tài về âm nhạc
chấn song,danh từ,"hàng thanh gỗ hoặc sắt lắp thẳng đứng cách đều nhau để làm vật chắn, thường lắp ở các cửa sổ: chấn song cửa sổ * dãy hàng rào chấn song sắt",chấn song cửa sổ * dãy hàng rào chấn song sắt
chân tình,danh từ,lòng thành thật: một tấm chân tình * lấy chân tình mà đối xử với nhau,một tấm chân tình * lấy chân tình mà đối xử với nhau
chân trời,danh từ,"đường giới hạn của tầm mắt ở nơi xa tít, trông tưởng như bầu trời tiếp xúc với mặt đất hay mặt biển: mặt trời nhô lên ở chân trời",mặt trời nhô lên ở chân trời
chân trời,danh từ,phạm vi rộng lớn mở ra cho một hoạt động hoặc sự việc có triển vọng lớn lao nào đó: đi đến những chân trời mới,đi đến những chân trời mới
chân váy,danh từ,"(hiếm) váy may rời, không dính liền với áo: áo trắng mặc với chân váy đen",áo trắng mặc với chân váy đen
chân vịt,danh từ,bộ phận máy có cánh quạt quay dưới nước để tạo nên sức đẩy.,chân vịt máy khâu
chân vạc,danh từ,thế vững chắc và ổn định do ba lực lượng ngang nhau liên kết tạo thành: đóng quân thành thế chân vạc,đóng quân thành thế chân vạc
chân voi,danh từ,bệnh phù rất to ở chân: mắc bệnh chân voi,mắc bệnh chân voi
chập tối,danh từ,lúc trời mới bắt đầu tối: đi từ mờ sáng đến chập tối * trời vừa chập tối,đi từ mờ sáng đến chập tối * trời vừa chập tối
chất béo,danh từ,tên gọi thông thường của lipid: thức ăn có nhiều chất béo,thức ăn có nhiều chất béo
chất cháy,danh từ,"chất rất dễ bén lửa và gây cháy (như xăng, dầu, phốt pho, napalm, v.v.): không đem theo chất cháy, chất nổ vào phòng họp","không đem theo chất cháy, chất nổ vào phòng họp"
chất bốc,danh từ,chất khí hoặc hơi cháy bốc ra khi than bị nung nóng: lượng chất bốc của than,lượng chất bốc của than
chất dẻo,danh từ,"chất có khả năng tạo hình dưới tác dụng của nhiệt độ và áp suất, sau đó giữ nguyên hình dạng đã tạo: sản xuất sợi chất dẻo * sử dụng túi chất dẻo",sản xuất sợi chất dẻo * sử dụng túi chất dẻo
chất độc,danh từ,"chất làm phá huỷ, ức chế hoặc làm chết cơ thể sống: chất độc hoá học * cơ thể bị nhiễm chất độc",chất độc hoá học * cơ thể bị nhiễm chất độc
chất đốt,danh từ,"chất khi cháy toả ra nhiều nhiệt, dùng trong đời sống và công nghiệp, như để đun, chạy máy, v.v.: củi, than, xăng là những chất đốt","củi, than, xăng là những chất đốt"
chất lỏng,danh từ,"chất ở trạng thái có thể chảy được, có thể tích nhất định và có hình dạng tuỳ thuộc vào vật chứa: bình đựng chất lỏng * nước là một dạng chất lỏng",bình đựng chất lỏng * nước là một dạng chất lỏng
chất khí,danh từ,chất ở trạng thái khí: metan là một chất khí dễ cháy,metan là một chất khí dễ cháy
chất liệu,danh từ,"vật liệu, tư liệu để tạo ra sản phẩm: sản phẩm được làm từ chất liệu nhựa tổng hợp",sản phẩm được làm từ chất liệu nhựa tổng hợp
chất khử,danh từ,chất có khả năng khử chất khác: carbon là một chất khử,carbon là một chất khử
chất thải,danh từ,"rác và các vật bỏ đi sau một quá trình sử dụng, nói chung: chất thải công nghiệp * xử lí chất thải",chất thải công nghiệp * xử lí chất thải
chất xám,danh từ,"mô cấu tạo bởi rất nhiều tế bào thần kinh có màu xám nằm ở vỏ ngoài của não; thường dùng để chỉ tri thức, trí tuệ, óc sáng tạo: chảy máu chất xám * đầu tư chất xám",chảy máu chất xám * đầu tư chất xám
châu lục,danh từ,"vùng đất liền làm thành một châu của Trái Đất: các châu lục Âu, Á, Phi * cuộc thi tài giữa các đội bóng đến từ nhiều châu lục","các châu lục Âu, Á, Phi * cuộc thi tài giữa các đội bóng đến từ nhiều châu lục"
châu ngọc,danh từ,"(văn chương) ngọc và ngọc trai (nói khái quát); dùng để ví cái hết sức đẹp đẽ, quý giá: những lời châu ngọc",những lời châu ngọc
châu thổ,danh từ,đồng bằng ở vùng cửa sông do phù sa bồi đắp nên: châu thổ sông Cửu Long * đồng bằng châu thổ sông Hồng,châu thổ sông Cửu Long * đồng bằng châu thổ sông Hồng
chầu văn,danh từ,"lối hát cổ truyền, có làn điệu phong phú, dùng để ca tụng thần thánh trong khi cúng bái, lên đồng: hát chầu văn * điệu chầu văn",hát chầu văn * điệu chầu văn
chè mạn,danh từ,chè thô sản xuất bằng búp của một giống chè lá to (trước đây thường trồng ở mạn ngược): pha một ấm chè mạn,pha một ấm chè mạn
chè tươi,danh từ,"lá chè già mới hái, dùng để nấu nước uống: bát nước chè xanh",bát nước chè xanh
chè xanh,danh từ,"lá chè già mới hái, dùng để nấu nước uống: bát nước chè xanh",bát nước chè xanh
chèo lái,danh từ,mái chèo ở phía sau thuyền dùng để lái; phân biệt với chèo mũi: cầm chèo lái,cầm chèo lái
chế bản,danh từ,văn bản đã được trình bày trên máy tính để đem in: làm xong chế bản * chế bản không đạt yêu cầu,làm xong chế bản * chế bản không đạt yêu cầu
chế định,danh từ,như định chế: quyền sở hữu là một chế định của luật dân sự,quyền sở hữu là một chế định của luật dân sự
chế phẩm,danh từ,sản phẩm được chế tạo ra: các chế phẩm được lấy từ dầu mỏ,các chế phẩm được lấy từ dầu mỏ
chị chàng,danh từ,(khẩu ngữ) người phụ nữ còn trẻ (hàm ý coi thường hoặc bông đùa): chị chàng nhà quê,chị chàng nhà quê
chỉ dẫn,danh từ,điều chỉ dẫn: uống thuốc theo đúng chỉ dẫn của bác sĩ,uống thuốc theo đúng chỉ dẫn của bác sĩ
chi cục,danh từ,"chi nhánh của cục hoặc tổng cục: chi cục thú y * chi cục thuế ở các quận, huyện","chi cục thú y * chi cục thuế ở các quận, huyện"
chỉ định,danh từ,điều đã được chỉ định (để theo đó mà chấp hành): làm theo chỉ định của cấp trên,làm theo chỉ định của cấp trên
chỉ điểm,danh từ,kẻ làm việc chỉ điểm: làm chỉ điểm,làm chỉ điểm
chi đoàn,danh từ,tổ chức cơ sở của đoàn thanh niên: chi đoàn cơ sở * bí thư chi đoàn,chi đoàn cơ sở * bí thư chi đoàn
chi đội,danh từ,"đơn vị tổ chức của lực lượng vũ trang cách mạng Việt Nam trong thời kì trước và sau Cách mạng tháng Tám, tương đương tiểu đoàn hoặc trung đoàn.",chi đội lớp 4E
chỉ huy,danh từ,người chỉ huy (nói tắt): báo cáo với chỉ huy,báo cáo với chỉ huy
chỉ giới,danh từ,điểm hoặc đường đánh dấu giới hạn cho một khu vực dành riêng cho việc gì: chỉ giới quy hoạch * vượt quá chỉ giới an toàn giao thông,chỉ giới quy hoạch * vượt quá chỉ giới an toàn giao thông
chi hội,danh từ,chi nhánh hoặc tổ chức cơ sở của hội: chi hội phụ nữ tỉnh,chi hội phụ nữ tỉnh
chí hướng,danh từ,ý muốn và quyết tâm đạt tới một mục tiêu tốt đẹp trong tương lai: chí hướng hoạt động * theo đuổi chí hướng * bạn cùng chí hướng,chí hướng hoạt động * theo đuổi chí hướng * bạn cùng chí hướng
chị gái,danh từ,"chị ruột, phân biệt với chị họ, chị dâu: quý chị dâu như chị gái",quý chị dâu như chị gái
chi khu,danh từ,"đơn vị hành chính - quân sự của chính quyền Sài Gòn trước 1975, tương đương với quận: chi khu hành chính * chi khu quân sự",chi khu hành chính * chi khu quân sự
chí khí,danh từ,ý chí và tinh thần: chí khí anh hùng * một con người đầy chí khí và nghị lực,chí khí anh hùng * một con người đầy chí khí và nghị lực
chi lưu,danh từ,"sông nhánh, trong quan hệ với sông cái: sông Lô là một chi lưu của sông Hồng",sông Lô là một chi lưu của sông Hồng
chỉ lệnh,danh từ,lệnh của cấp trên giao cho cấp dưới thi hành: ra chỉ lệnh sản xuất * thực hiện nghiêm túc các chỉ lệnh của cấp trên,ra chỉ lệnh sản xuất * thực hiện nghiêm túc các chỉ lệnh của cấp trên
chỉ lệnh,danh từ,câu lệnh đã được thông dịch hoặc biên dịch chỉ thị cho máy tính làm việc: loại máy mới được bổ sung thêm nhiều chỉ lệnh,loại máy mới được bổ sung thêm nhiều chỉ lệnh
chi phái,danh từ,"(hiếm) ngành, nhánh trong một họ hoặc một trường pháI: họp mặt các chi phái * trưởng chi phái của một dòng võ",họp mặt các chi phái * trưởng chi phái của một dòng võ
chị nuôi,danh từ,"người phụ nữ làm cấp dưỡng, trong quan hệ với những đối tượng phục vụ của mình: chị nuôi của tiểu đoàn",chị nuôi của tiểu đoàn
chi nhánh,danh từ,"nhánh phụ, phân ra từ nhánh chính: các chi nhánh của sông Hồng * một chi nhánh của dòng họ Nguyễn",các chi nhánh của sông Hồng * một chi nhánh của dòng họ Nguyễn
chi nhánh,danh từ,"đơn vị cấp dưới của một cơ quan, tổ chức (thường là tổ chức kinh doanh): công ti mới mở thêm chi nhánh",công ti mới mở thêm chi nhánh
chi phí,danh từ,khoản chi phí: chi phí vận chuyển,chi phí vận chuyển
chì than,danh từ,"chất liệu để vẽ, thành phần gồm bột than hoặc muội trộn với chất kết dính: bức vẽ được thể hiện bằng chất liệu chì than",bức vẽ được thể hiện bằng chất liệu chì than
chỉ thị,danh từ,điều cấp trên chỉ thị cho cấp dưới: xin chỉ thị của tỉnh * nhận chỉ thị,xin chỉ thị của tỉnh * nhận chỉ thị
chi tiết,danh từ,"điểm nhỏ, phần rất nhỏ trong nội dung sự việc hoặc hiện tượng: dẫn ra từng chi tiết cụ thể * lắng nghe không bỏ sót một chi tiết nào",dẫn ra từng chi tiết cụ thể * lắng nghe không bỏ sót một chi tiết nào
chi tiết,danh từ,"thành phần hoặc bộ phận riêng lẻ có thể tháo lắp được (như đinh ốc, trục, bánh xe, v.v.) trong máy móc, thiết bị: tháo rời từng chi tiết trước khi sửa chữa",tháo rời từng chi tiết trước khi sửa chữa
chỉ tiêu,danh từ,mức quy định phải đạt tới trong kế hoạch: hoàn thành vượt mức chỉ tiêu đề ra * phân bổ chỉ tiêu cho từng đơn vị,hoàn thành vượt mức chỉ tiêu đề ra * phân bổ chỉ tiêu cho từng đơn vị
chỉ tiêu,danh từ,"mức biểu hiện của một đặc điểm, một chức năng: chỉ tiêu sinh lí",chỉ tiêu sinh lí
chìa khoá,danh từ,vật bằng kim loại dùng tra vào ổ khoá để mở hoặc để khoá: chùm chìa khoá * để quên chìa khoá ở nhà,chùm chìa khoá * để quên chìa khoá ở nhà
chìa khoá,danh từ,"điều mấu chốt giúp cho giải quyết được việc gì, hoặc vấn đề gì: cải tiến kĩ thuật là chìa khoá để tăng năng suất lao động",cải tiến kĩ thuật là chìa khoá để tăng năng suất lao động
chiến bào,danh từ,"(cũ) áo của tướng sĩ thời phong kiến mặc khi ra trận: ""Giã nhà đeo bức chiến bào, Thét roi cầu Vị ào ào gió thu."" (CPN)","""Giã nhà đeo bức chiến bào, Thét roi cầu Vị ào ào gió thu."" (CPN)"
chiến hào,danh từ,"hào để ẩn nấp, che chắn khi tác chiến: đào chiến hào",đào chiến hào
chiến hạm,danh từ,tàu chiến lớn: pháo từ chiến hạm bắn vào bờ,pháo từ chiến hạm bắn vào bờ
chiến hữu,danh từ,bạn cùng chiến đấu.,anh em chiến hữu
chiến khu,danh từ,khu vực tác chiến rộng lớn có ý nghĩa chiến lược.,chiến khu Việt Bắc
chiến luỹ,danh từ,tuyến công sự xây đắp kiên cố để phòng thủ: đắp chiến luỹ,đắp chiến luỹ
chiêu bài,danh từ,biển quảng cáo treo trước cửa hiệu; thường dùng để chỉ cái danh nghĩa giả dối bề ngoàI: núp dưới chiêu bài 'khai hoá' để thực hiện chính sách thực dân,núp dưới chiêu bài 'khai hoá' để thực hiện chính sách thực dân
chiếu chỉ,danh từ,(cũ) chiếu thư và thánh chỉ; những điều vua công bố và ra lệnh bằng văn bản (nói khái quát): vua xuống chiếu chỉ,vua xuống chiếu chỉ
chiếu đậu,danh từ,"chiếu cói loại tốt, màu trắng ngà: mua đôi chiếu đậu",mua đôi chiếu đậu
chiều hôm,danh từ,"(văn chương) lúc mặt trời sắp lặn: nắng quái chiều hôm * ""Chàng về để thiếp cho ai, Chiều hôm vắng vẻ, sớm mai lạnh lùng."" (ca dao)","nắng quái chiều hôm * ""Chàng về để thiếp cho ai, Chiều hôm vắng vẻ, sớm mai lạnh lùng."" (ca dao)"
chiếu thư,danh từ,(cũ) tờ chiếu của vua: bức chiếu thư,bức chiếu thư
chiều tối,danh từ,lúc mới bắt đầu tối: đi từ mờ sáng đến chiều tối mới về,đi từ mờ sáng đến chiều tối mới về
chiều qua,danh từ,(khẩu ngữ) chiều hôm qua (nói tắt): đi từ chiều qua,đi từ chiều qua
chim chóc,danh từ,chim (ở ngoài tự nhiên; nói khái quát): chim chóc trong rừng,chim chóc trong rừng
chim cút,danh từ,"chim nhỏ cùng họ với gà, đuôi cộc, chân ngắn, lông màu nâu xám, thường sống ở đồi cỏ, lủi rất nhanh trong bụi cây, cũng được nuôi để lấy thịt, trứng: béo như con cun cút",béo như con cun cút
chín suối,danh từ,"(cũ, văn chương) thế giới của người chết, nơi âm phủ: ngậm cười chín suối * ""Dầu anh lỗi đạo tình thâm, Hồn về chín suối, xác cầm dương gian."" (ca dao)","ngậm cười chín suối * ""Dầu anh lỗi đạo tình thâm, Hồn về chín suối, xác cầm dương gian."" (ca dao)"
chính đạo,danh từ,"con đường ngay thẳng, đúng đắn: làm theo chính đạo * giữ chính đạo",làm theo chính đạo * giữ chính đạo
chính khí,danh từ,"(cũ) chí khí khảng khái, bất khuất: nêu cao chính khí",nêu cao chính khí
chinh phụ,danh từ,"(cũ, văn chương) vợ của người đàn ông đang đi đánh trận thời phong kiến: chinh phụ chờ chồng",chinh phụ chờ chồng
chính phủ,danh từ,"cơ quan hành pháp và hành chính cao nhất của một nước, thực hiện công việc quản lí nhà nước ở cấp trung ương: thủ tướng chính phủ * dự án được chính phủ phê duyệt",thủ tướng chính phủ * dự án được chính phủ phê duyệt
chinh phu,danh từ,"(cũ, văn chương) người đàn ông đi đánh trận thời phong kiến: khách chinh phu * ""Hồn tử sĩ gió ù ù thổi, Mặt chinh phu trăng dõi dõi soi."" (CPN)","khách chinh phu * ""Hồn tử sĩ gió ù ù thổi, Mặt chinh phu trăng dõi dõi soi."" (CPN)"
chính quả,danh từ,"kết quả tu hành đắc đạo, theo quan niệm của đạo Phật: tu thành chính quả",tu thành chính quả
chính thể,danh từ,hình thức tổ chức của một nhà nước: chính thể dân chủ * chính thể cộng hoà,chính thể dân chủ * chính thể cộng hoà
chính trị,danh từ,"những vấn đề về tổ chức và điều khiển bộ máy nhà nước, hoặc những hoạt động của một giai cấp, một chính đảng nhằm giành hoặc duy trì quyền điều khiển bộ máy nhà nước (nói tổng quát): đường lối chính trị * tổ chức chính trị * tình hình chính trị trong nước",đường lối chính trị * tổ chức chính trị * tình hình chính trị trong nước
chính trị,danh từ,"Chính trị còn được hiểu là chủ trương, chính sách của Đảng cầm quyền. Các chủ trương, chính sách này sẽ được cụ thể hóa thành pháp luật của Nhà nước.",vững vàng về chính trị * cán bộ chính trị * ý thức chính trị
chíp hôi,danh từ,"(khẩu ngữ) trẻ con, không đáng coi ra gì: đồ chíp hôi!",đồ chíp hôi!
chó ghẻ,danh từ,"(khẩu ngữ) ví kẻ bị ghét bỏ, đáng ghê tởm: đồ chó ghẻ! (tiếng chửi)",đồ chó ghẻ! (tiếng chửi)
chó săn,danh từ,"chó tinh khôn, rất thính hơi, chuyên dùng vào việc đi săn.",đồ chó săn!
choi choi,danh từ,"chim nhỏ sống gần bờ nước, cỡ bằng sáo, cẳng cao, mỏ dài, hay nhảy: nhảy như con choi choi",nhảy như con choi choi
chỏm cầu,danh từ,một trong hai phần của mặt cầu có được do một mặt phẳng cắt mặt cầu ấy: hình chỏm cầu,hình chỏm cầu
chòm sao,danh từ,tập hợp gồm nhiều ngôi sao tựa hồ như kết với nhau thành một hình nào đó: chòm sao Bắc Đẩu,chòm sao Bắc Đẩu
chòm xóm,danh từ,(phương ngữ) chòm và xóm; khu vực dân cư nhỏ nhất ở nông thôn (nói khái quát): bà con chòm xóm,bà con chòm xóm
chỗ đứng,danh từ,"vị trí, vai trò trong gia đình, xã hội hoặc trong một tổ chức, một phạm vi nào đó: tác phẩm đã có chỗ đứng xứng đáng * tìm được chỗ đứng trong xã hội",tác phẩm đã có chỗ đứng xứng đáng * tìm được chỗ đứng trong xã hội
chỗ phạm,danh từ,chỗ trên thân thể dễ bị nguy hiểm đến tính mạng khi bị thương: đánh trúng chỗ phạm * gáy là chỗ phạm,đánh trúng chỗ phạm * gáy là chỗ phạm
chốc lát,danh từ,"khoảng thời gian ngắn, một chốc, một lát (nói khái quát): ngồi chốc lát rồi lại đi * chỉ trong chốc lát, mọi thứ đã thay đổi hẳn","ngồi chốc lát rồi lại đi * chỉ trong chốc lát, mọi thứ đã thay đổi hẳn"
chôm chôm,danh từ,"bọ cánh nửa trông giống con nhện, chân dài và mảnh giống gọng vó, hay nhảy trên mặt nước hồ ao: nhảy như chôm chôm",nhảy như chôm chôm
chôm chôm,danh từ,"cây ăn quả gần với vải, vỏ màu đỏ hoặc vàng, có nhiều gai mềm và dài, vị ngọt hơi chua: trái chôm chôm",trái chôm chôm
chồng con,danh từ,"chồng và con, về mặt là gia đình riêng của người phụ nữ (nói khái quát): tính chuyện chồng con * ngoài ba mươi mà vẫn chưa chồng con gì",tính chuyện chồng con * ngoài ba mươi mà vẫn chưa chồng con gì
chông gai,danh từ,"chông và gai (nói khái quát), dùng để ví những trở ngại, khó khăn, nguy hiểm gặp phải trong quá trình thực hiện một việc gì: đạp bằng chông gai * ""Bỗng đâu gặp bước chông gai, Non cao, nước thẳm nào ai biết gì?"" (LNT)","đạp bằng chông gai * ""Bỗng đâu gặp bước chông gai, Non cao, nước thẳm nào ai biết gì?"" (LNT)"
chợ búa,danh từ,chợ (nói khái quát): chợ búa vắng teo * chỉ làm ruộng chứ có chợ búa gì đâu!,chợ búa vắng teo * chỉ làm ruộng chứ có chợ búa gì đâu!
chợ chiều,danh từ,"chợ về chiều, lúc gần tan; ví cảnh tàn cuộc, rời rạc, không còn ồn ào, sôi nổi: không khí chợ chiều * ""Khi anh gặp chị, thì đôi bên đã là cảnh xế muộn chợ chiều rồi, cho nên cũng dễ dãi mà lấy nhau."" (THoài; 29)","không khí chợ chiều * ""Khi anh gặp chị, thì đôi bên đã là cảnh xế muộn chợ chiều rồi, cho nên cũng dễ dãi mà lấy nhau."" (THoài; 29)"
chợ đen,danh từ,"nơi mua bán hàng hoá, tiền tệ một cách lén lút, bất hợp pháp với giá cả tuỳ tiện: giá chợ đen * ""Anh Hoàng là một nhà văn, nhưng đồng thời cũng là một tay chợ đen rất tài tình."" (NCao; 8)","giá chợ đen * ""Anh Hoàng là một nhà văn, nhưng đồng thời cũng là một tay chợ đen rất tài tình."" (NCao; 8)"
chợ nổi,danh từ,"chợ họp một cách tự phát trên mặt sông, mặt nước, các hoạt động mua bán diễn ra trên thuyền, trên xuồng: chợ nổi vùng đồng bằng sông Cửu Long",chợ nổi vùng đồng bằng sông Cửu Long
chớp mắt,danh từ,(khẩu ngữ) khoảng thời gian rất ngắn (tựa như chỉ bằng một cái nháy mắt): sự việc xảy ra trong nháy mắt,sự việc xảy ra trong nháy mắt
chủ bài,danh từ,"con bài vào loạI có ưu thế hơn cả trong ván bài, theo quy ước.",đến phút chót mới tung chủ bài
chủ biên,danh từ,người chủ trì công tác biên soạn một công trình tập thể: chủ biên quyển từ điển,chủ biên quyển từ điển
chủ đích,danh từ,mục đích chính: chủ đích của đời người * hành động có chủ đích,chủ đích của đời người * hành động có chủ đích
chủ định,danh từ,"mục đích, ý định có sẵn: nhân tiện ghé thăm, không có chủ định * có chủ định làm phản","nhân tiện ghé thăm, không có chủ định * có chủ định làm phản"
chủ khách,danh từ,"chủ nhà và khách, trong mối quan hệ với nhau: ""Ngoài thì chủ khách dập dìu, Một nhà huyên với một Kiều ở trong."" (TKiều)","""Ngoài thì chủ khách dập dìu, Một nhà huyên với một Kiều ở trong."" (TKiều)"
chủ hôn,danh từ,người chủ trì lễ cưới: làm chủ hôn cho đôi trẻ,làm chủ hôn cho đôi trẻ
chủ kiến,danh từ,(hiếm) ý kiến riêng của mình: người có chủ kiến,người có chủ kiến
chủ nghĩa,danh từ,"học thuyết lí luận hoặc hệ tư tưởng về các vấn đề thế giới khách quan, đời sống xã hội và học thuật: chủ nghĩa duy vật * chủ nghĩa yêu nước",chủ nghĩa duy vật * chủ nghĩa yêu nước
chủ nghĩa,danh từ,"thành tố ghép trước để cấu tạo một số ít danh từ, có nghĩa chế độ kinh tế - xã hội: chủ nghĩa tư bản * chủ nghĩa xã hội",chủ nghĩa tư bản * chủ nghĩa xã hội
chủ nghĩa,danh từ,"thành tố ghép sau để cấu tạo tính từ, có nghĩa thuộc về chủ nghĩa, thuộc về chế độ kinh tế - xã hội: hiện thực chủ nghĩa * tư bản chủ nghĩa",hiện thực chủ nghĩa * tư bản chủ nghĩa
chủ lực,danh từ,"lực lượng chính, nòng cốt, có tác dụng quyết định thắng lợi: lực lượng chủ lực * gạo là mặt hàng xuất khẩu chủ lực",lực lượng chủ lực * gạo là mặt hàng xuất khẩu chủ lực
chủ lực,danh từ,bộ đội chủ lực (nói tắt): sư đoàn chủ lực * quân chủ lực,sư đoàn chủ lực * quân chủ lực
chủ mưu,danh từ,mưu kế đã được xếp đặt từ trước: đây là một hành động phá hoại có chủ mưu,đây là một hành động phá hoại có chủ mưu
chủ ngữ,danh từ,"một trong hai thành phần chính của câu đơn thông thường, nêu đối tượng mà hành động, tính chất, trạng thái được nói rõ trong vị ngữ: trong câu ""thời tiết rất đẹp"", ""thời tiết"" là chủ ngữ","trong câu ""thời tiết rất đẹp"", ""thời tiết"" là chủ ngữ"
chủ ngữ,danh từ,(hiếm) như chủ từ: xác định chủ ngữ của phán đoán,xác định chủ ngữ của phán đoán
chủ nhân,danh từ,người chủ nhà: chủ nhân và quan khách,chủ nhân và quan khách
chủ nhân,danh từ,người sở hữu tài sản hoặc nắm giữ quyền lực: chủ nhân của ngôi nhà,chủ nhân của ngôi nhà
chủ quyền,danh từ,quyền làm chủ của một nước trong các vấn đề đối nội và đối ngoại: giữ vững chủ quyền quốc gia * khẳng định chủ quyền,giữ vững chủ quyền quốc gia * khẳng định chủ quyền
chủ nhiệm,danh từ,"người đứng đầu và chịu trách nhiệm chính trong một số cơ quan nhà nước, một số tổ chức: chủ nhiệm khoa * chủ nhiệm hợp tác xã * thầy chủ nhiệm",chủ nhiệm khoa * chủ nhiệm hợp tác xã * thầy chủ nhiệm
chủ quan,danh từ,"ý thức, tinh thần của con người, trong quan hệ đối lập với khách quan: nhận định chủ quan * làm theo chủ quan",nhận định chủ quan * làm theo chủ quan
chủ tâm,danh từ,ý định có sẵn: việc làm có chủ tâm,việc làm có chủ tâm
chủ tịch,danh từ,"người đứng đầu một nước, một cơ quan làm việc theo chế độ hội đồng hoặc uỷ ban: chủ tịch nước * chủ tịch công đoàn * chủ tịch uỷ ban nhân dân",chủ tịch nước * chủ tịch công đoàn * chủ tịch uỷ ban nhân dân
chủ thể,danh từ,"bộ phận chính, giữ vai trò chủ đạo: vai trò chủ thể * dân tộc Kinh là dân tộc chủ thể ở Việt Nam",vai trò chủ thể * dân tộc Kinh là dân tộc chủ thể ở Việt Nam
chủ thể,danh từ,"con người với tư cách là một sinh vật có ý thức và ý chí, trong quan hệ đối lập với thế giới bên ngoài (gọi là khách thể): chủ thể nhận thức * chủ thể sáng tạo * phân biệt giữa chủ thể và khách thể",chủ thể nhận thức * chủ thể sáng tạo * phân biệt giữa chủ thể và khách thể
chủ thể,danh từ,"đối tượng gây ra hành động, trong quan hệ đối lập với đối tượng bị sự chi phối của hành động (gọi là khách thể): chủ thể hành động",chủ thể hành động
chủ thể,danh từ,"người là đối tượng sở hữu, chịu trách nhiệm chính của một vấn đề có tính pháp lí: chủ thể của bản hợp đồng * chủ thể kinh doanh",chủ thể của bản hợp đồng * chủ thể kinh doanh
chủ thầu,danh từ,người đứng ra nhận thầu một công trình hay một loại dịch vụ: chủ thầu xây dựng,chủ thầu xây dựng
chủ toạ,danh từ,tập trung quan tâm vào việc gì đó: quá chú mục vào một việc mà không quan tâm đến những việc khác,quá chú mục vào một việc mà không quan tâm đến những việc khác
chu trình,danh từ,toàn bộ nói chung diễn biến của một quá trình mà lúc kết thúc lại trở về trạng thái ban đầu: hệ thống máy hoạt động theo một chu trình khép kín,hệ thống máy hoạt động theo một chu trình khép kín
chuẩn gốc,danh từ,"chuẩn có độ chính xác cao nhất trong phạm vi quốc gia hoặc quốc tế, dùng để thể hiện đơn vị đo và tạo ra chuẩn thứ: xác định theo chuẩn gốc",xác định theo chuẩn gốc
chúc thư,danh từ,"bản di chúc, đặc biệt về việc xử lí các tài sản của mình sau khi chết: lập chúc thư",lập chúc thư
chúng bạn,danh từ,bạn bè nói chung: theo kịp chúng bạn * bị chúng bạn cười chê,theo kịp chúng bạn * bị chúng bạn cười chê
chung kết,danh từ,vòng thi đấu (hoặc vòng thi) cuối cùng để chọn đội hay vận động viên vô địch (hoặc người chiếm giải nhất): trận chung kết bóng đá * lọt vào vòng chung kết cuộc thi hoa hậu,trận chung kết bóng đá * lọt vào vòng chung kết cuộc thi hoa hậu
chủng tộc,danh từ,"tập đoàn người hình thành trong quá trình lịch sử, cùng một nguồn gốc, có chung những đặc điểm di truyền về màu da, về cấu tạo cơ thể, v.v.: không phân biệt chủng tộc",không phân biệt chủng tộc
